"","CASE","O_1","O_2","O_3","C_1","C_2","C_3","E_1","E_2","E_3","A_1","A_2","A_3","N_1","N_2","N_3"
"1",1,6,6,6,6,6,6,1,2,2,5,5,5,2,4,4
"2",2,6,6,6,5,4,5,4,5,5,5,6,6,4,2,2
"3",3,5,4,6,4,5,5,5,5,6,5,6,6,6,5,6
"4",4,3,6,6,5,5,5,5,6,5,2,3,5,6,5,3
"5",5,6,6,6,4,6,2,3,1,2,5,3,4,4,5,5
"6",6,1,1,6,2,3,4,1,1,1,4,2,1,1,1,1
"7",7,6,6,6,5,4,4,1,3,3,6,6,6,6,5,6
"8",8,5,5,NA,4,NA,2,4,4,3,5,4,4,3,4,4
"9",9,6,6,6,6,6,4,1,1,1,6,6,1,6,3,4
"10",10,5,5,6,5,4,3,1,5,6,5,6,6,5,5,4
"11",11,6,6,6,6,6,5,6,5,5,5,3,4,6,6,6
"12",12,4,5,6,5,5,1,1,1,2,5,4,3,6,4,5
"13",13,6,6,6,5,4,4,4,5,6,5,6,2,6,5,6
"14",14,5,5,6,5,5,5,2,3,2,5,5,5,5,4,3
"15",15,6,6,6,5,6,6,1,2,3,5,3,3,6,6,4
"16",16,5,6,6,5,6,6,3,3,5,6,6,6,4,3,5
"17",17,5,4,6,2,3,3,2,NA,5,3,6,5,5,3,4
"18",18,5,5,6,4,3,3,5,5,6,5,5,4,3,3,3
"19",19,5,5,6,6,4,6,4,6,6,6,6,6,6,5,5
"20",20,6,6,6,5,4,2,4,6,5,6,5,5,5,3,4
"21",21,6,6,6,5,4,4,2,5,5,4,5,6,4,3,3
"22",22,5,5,6,4,5,4,3,3,2,5,5,5,4,3,3
"23",23,5,3,6,5,5,3,6,6,6,5,6,6,5,3,4
"24",24,6,5,6,5,2,4,2,2,2,5,3,4,3,4,3
"25",25,4,6,6,5,6,6,4,5,3,5,5,6,6,6,6
"26",26,6,6,6,5,5,5,4,5,3,5,6,5,5,5,5
"27",27,6,6,6,6,4,4,1,4,3,5,5,5,3,4,5
"28",28,6,5,6,5,5,5,4,5,6,5,5,6,3,4,5
"29",29,4,3,6,6,5,5,4,5,4,4,5,4,3,4,3
"30",30,4,3,6,5,4,4,2,2,3,6,6,5,6,3,4
"31",31,2,5,6,4,6,6,5,2,3,5,4,2,2,2,3
"32",32,4,5,6,6,5,4,2,4,5,4,5,5,6,5,5
"33",33,2,3,6,4,3,2,1,1,1,4,3,2,3,2,2
"34",34,1,1,6,6,1,6,1,1,1,6,6,6,1,6,1
"35",35,6,5,6,5,6,5,3,5,4,5,6,5,6,5,5
"36",36,6,6,6,5,5,4,1,1,1,6,6,6,1,1,1
"37",37,5,6,6,5,1,2,1,1,6,6,5,3,6,4,2
"38",38,5,5,6,5,5,3,3,5,5,6,6,6,3,2,3
"39",39,6,5,6,5,6,3,2,5,3,6,6,2,1,3,1
"40",40,5,5,6,5,6,6,5,5,2,5,5,5,5,2,3
"41",41,1,6,6,6,6,6,6,2,1,6,5,4,2,2,2
"42",42,5,5,6,6,3,3,2,2,3,2,2,4,5,4,6
"43",43,1,1,6,5,5,5,4,6,3,6,5,5,6,6,2
"44",44,6,6,6,2,3,2,2,1,2,6,5,5,3,2,3
"45",45,5,5,6,5,4,4,4,2,3,4,4,5,3,4,3
"46",46,1,6,6,4,5,1,1,3,1,5,5,4,3,1,3
"47",47,3,4,6,6,5,3,4,4,3,5,4,5,5,6,6
"48",48,NA,6,6,1,3,3,1,1,2,3,4,4,4,1,4
"49",49,6,6,6,5,2,1,2,1,3,5,5,6,3,2,4
"50",50,6,6,6,5,4,6,3,4,4,5,4,5,3,3,3
"51",51,6,6,6,6,6,6,1,1,1,6,1,6,6,1,6
"52",52,3,4,6,5,5,4,1,1,1,4,3,3,3,2,2
"53",53,6,6,6,5,5,6,1,2,3,5,6,6,4,4,3
"54",54,6,6,6,5,3,5,3,2,4,4,3,3,2,5,5
"55",55,6,6,6,6,6,6,4,5,3,5,4,5,5,6,6
"56",56,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6
"57",57,6,6,6,6,6,6,3,6,2,6,6,6,6,6,6
"58",58,6,6,6,4,4,3,3,1,2,5,4,2,2,3,2
"59",59,6,6,6,6,6,6,3,4,5,5,5,5,5,3,4
"60",60,6,6,6,4,5,5,2,3,3,4,4,6,3,5,3
"61",61,6,6,6,6,5,5,2,4,6,6,6,6,6,6,6
"62",62,6,6,6,5,5,5,4,3,6,5,6,6,3,1,4
"63",63,1,6,6,6,6,6,6,6,6,6,1,6,1,6,1
"64",64,6,6,6,2,1,1,5,6,6,5,5,5,5,2,6
"65",65,6,6,6,6,6,6,1,4,6,6,6,6,3,6,4
"66",66,6,6,6,5,4,1,5,5,6,5,2,2,5,1,2
"67",67,6,6,6,5,6,4,4,2,3,4,3,4,6,4,5
"68",68,5,5,6,6,5,5,4,3,4,4,1,1,6,6,6
"69",69,6,6,6,6,3,5,6,6,6,6,6,6,1,6,3
"70",70,3,3,6,5,4,4,3,3,3,4,4,3,3,4,3
"71",71,6,6,6,5,4,4,3,2,3,4,5,3,5,5,5
